ad_id,area,area_sqm,building_type,category,city,currency,detail_url,district,floor,floor_numeric,image_count,listing_date,listing_date_raw,listing_type,location_full,ownership_document,price,price_per_sqm,price_text,property_type,rooms,rooms_numeric,scraped_at,seller_category,seller_type,short_description,source_page,title,total_floors,total_floors_numeric,transaction_type
165328,,,,"Həyət evləri, Villa",Bakı,AZN,https://qarabazar.az/Bineqedide-2-otaqli-heyet-evi-adv165328.html,Binəqədi,,,10,2025-07-19,19 iyul 2025,,Bakı♦Binəqədi,Yoxdur,40000,,40 000 azn,house,2 otaq,2,2026-01-01T14:16:46.769397,agent,Vasitəçi(makler),"Binəqədidə Centralniyə yaxın 0.5 sotda 2 otaq, S/Q və mətb...",23,Binəqədidə 2 otaqlı heyet evi,,,other
165318,28,28.0,,Köhnə tikili,Bakı,AZN,https://qarabazar.az/Iceriseher-metrosunda-28kv-menzil-satisi-adv165318.html,metro İçəri şəhər,3,3,9,2025-07-18,18 iyul 2025,,Bakı♦metro İçəri şəhər,Var,125000,4464.29,125 000 azn,apartment,1 otaq,1,2026-01-01T14:16:46.770709,agent,Vasitəçi(makler),Səbail rayonu İçərişəhər metrosunun yaxınlığı proekt arxet...,23,Içərişəhər metrosunda 28kv mənzil satışı,3,3,other
165317,27,27.0,,Köhnə tikili,Bakı,AZN,https://qarabazar.az/merkezde-1-otaqli-menzil-satisi-adv165317.html,metro İçəri şəhər,3,3,10,2025-07-18,18 iyul 2025,,Bakı♦metro İçəri şəhər,Var,135000,5000.0,135 000 azn,apartment,1 otaq,1,2026-01-01T14:16:46.772025,agent,Vasitəçi(makler),Səbail rayonu İçərişəhər metrosunun yaxınlığı proekt arxet...,23,Mərkəzdə 1 otaqlı mənzil satışı,3,3,other
165313,,,,"Həyət evləri, Villa",Bakı,AZN,https://qarabazar.az/Bineqedide-4-otaqli-heyet-evi-adv165313.html,Binəqədi,,,10,2025-07-18,18 iyul 2025,,Bakı♦Binəqədi,Yoxdur,75000,,75 000 azn,house,4 otaq,4,2026-01-01T14:16:46.773339,agent,Vasitəçi(makler),Təcili... Binəqədidə Gülüstan küçəsində Əsas Yola yaxın 2 ...,23,Binəqədidə 4 otaqlı həyət evi,,,other
165311,,,,"Həyət evləri, villa, bağ evi",Gədəbəy,AZN,https://qarabazar.az/Slavyanka-gunluk-ev-adv165311.html,,,,8,2025-07-18,18 iyul 2025,Kiraye gunluk ev verirem,Gədəbəy,,70,,70 azn,house,2 otaq,2,2026-01-01T14:16:46.774640,owner,ƏMLAK sahibi,"Gədəbəy rayonu Slavyanka kəndində Aşağı Narzan, Meh, Şirxa...",23,Slavyanka günlük ev,,,other
165300,46,46.0,,Yeni tikili (новостройки),Abşeron r.,AZN,https://qarabazar.az/1-otaqli-Menzil-Kiraye-verilir-adv165300.html,Xırdalan,1,1,4,2025-07-17,17 iyul 2025,Kiraye ev verirem,Abşeron r.♦Xırdalan,,349,7.59,349 azn,apartment,1 otaq,1,2026-01-01T14:16:46.775831,agent,Vasitəçi(makler),Menzil Kiraye verilir Xirdalan seheri Heyder Eliyev prospe...,23,1 otaqli Menzil Kiraye verilir,14,14,other
165293,,,,"Həyət evləri, Villa",Bakı,AZN,https://qarabazar.az/Bineqedide-4-otaqli-heyet-evi-adv165293.html,Binəqədi,,,11,2025-07-17,17 iyul 2025,,Bakı♦Binəqədi,Yoxdur,108000,,108 000 azn,house,4 otaq,4,2026-01-01T14:16:46.777132,agent,Vasitəçi(makler),"Binəqədidə Təcili satılır... 4 yola, daş bazarına və Nicat...",23,Binəqədidə 4 otaqlı həyət evi,,,other
165290,12,12.0,,Torpaq sahələri,Bakı,AZN,https://qarabazar.az/TORPAQ-12-SOT-SAVALANDA-adv165290.html,Savalan,,,5,2025-07-17,17 iyul 2025,,Bakı♦Savalan,Var,7300,608.33,7 300 azn,land,,,2026-01-01T14:16:46.778407,owner,ƏMLAK sahibi,"Salam,Torpaq sahəsi hasarın icində və darvazası var.
Sava...",23,TORPAQ 12 SOT SAVALANDA,,,other
165266,,,,"Həyət evləri, Villa",Bakı,AZN,https://qarabazar.az/heyet-evi-satilir-adv165266.html,Şüvəlan,,,15,2025-07-16,16 iyul 2025,,Bakı♦Şüvəlan,Var,510000,,510 000 azn,house,5 otaq +,5,2026-01-01T14:16:48.455516,agent,Vasitəçi(makler),Təcili Şüvəlan qəsəbəsində yerləşən villa satılır 8 sot to...,24,Həyət evi satılır,,,other
165259,,,,"Həyət evləri, Villa",Bakı,AZN,https://qarabazar.az/Bileceride-Merkezde-3-mertebe-5-otaqli-Villa-adv165259.html,Biləcəri,,,14,2025-07-15,15 iyul 2025,,Bakı♦Biləcəri,Var,220000,,220 000 azn,house,5 otaq +,5,2026-01-01T14:16:48.456883,agent,Vasitəçi(makler),Biləcəridə Tam Mərkəzdə ploşadda  Kupçalı 2 sotda 3 mərətb...,24,Biləcəridə Mərkəzdə 3 mərtəbə 5 otaqlı Villa,,,other
165258,,,,"Həyət evləri, Villa",Bakı,AZN,https://qarabazar.az/Kredit-ile-Bileceride-3-otaqli-heyet-evi-adv165258.html,Biləcəri,,,8,2025-07-15,15 iyul 2025,,Bakı♦Biləcəri,Yoxdur,25000,,25 000 azn,house,3 otaq,3,2026-01-01T14:16:48.458187,agent,Vasitəçi(makler),"Kredit: Biləcəridə DYP yolunda 1.5 sotda 3 otaq, S/Q və m�...",24,Kredit ilə Biləcəridə 3 otaqlı həyət evi,,,other
